N,BubbleSort,SelectionSort,InsertSort,QuickSort,MergeSort,HeapSort
10,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.087158203125,0.023999452590942383,0.023999929428100586,0.0,0.0,0.0039975643157958984
10000,9.944579839706421,2.455000638961792,2.7991812229156494,0.020133256912231445,0.028159379959106445,0.04439735412597656
100000,,,,0.06399989128112793,0.3588099479675293,0.5426409244537354
1000000,,,,2.6263773441314697,4.633542776107788,7.936721563339233
10000000,,,,46.284472703933716,57.839428186416626,101.43826985359192
